#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
11	1.100000e-01	-8.9814623910e-06	8.9814623910e-06	0.0000000000e+00	0.0000000000e+00	-5.1854497310e-06	-5.1854497310e-06	1.0370899456e-05	0.0000000000e+00	-3.6666666685e-06	-3.6666666685e-06	-3.6666666685e-06	1.1000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.4205600507e-02	8.4205600507e-02	0.0000000000e+00	0.0000000000e+00	-4.8616126123e-02	-4.8616126123e-02	9.7232252247e-02	-1.9423681413e-12	-3.4376792458e-02	-3.4376792458e-02	-3.4376792465e-02	1.0313037738e-01	-2.6722116011e-16	-2.6722116011e-16	1.7504702420e-15	8.8910825012e-16	2.7570541268e-16	-2.7570604796e-16	-7.9409338805e-22	1.5881867761e-21	1.3009608154e-16	-1.3009242871e-16	-3.0969642134e-21	3.1763735522e-22
12	1.200000e-01	-9.7979589720e-06	9.7979589720e-06	0.0000000000e+00	0.0000000000e+00	-5.6568542520e-06	-5.6568542520e-06	1.1313708498e-05	0.0000000000e+00	-4.0000000020e-06	-4.0000000020e-06	-4.0000000020e-06	1.2000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.3854528251e-02	7.3854528251e-02	1.3010426070e-18	0.0000000000e+00	-4.2639931769e-02	-4.2639931769e-02	8.5279863540e-02	-1.9562320513e-12	-3.0150984905e-02	-3.0150984905e-02	-3.0150984911e-02	9.0452954720e-02	-2.1133112045e-16	-2.1133112045e-16	1.5751566565e-15	6.9386736753e-16	2.0159998244e-16	-2.0160061771e-16	-9.5291206566e-22	2.2234614865e-21	1.1453304227e-16	-1.1453010413e-16	-3.5734202462e-21	2.3822801642e-22
13	1.300000e-01	-1.0614455553e-05	1.0614455553e-05	0.0000000000e+00	0.0000000000e+00	-6.1282587730e-06	-6.1282587730e-06	1.2256517539e-05	0.0000000000e+00	-4.3333333355e-06	-4.3333333355e-06	-4.3333333355e-06	1.3000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-6.4775873699e-02	6.4775873699e-02	0.0000000000e+00	1.3010426070e-18	-3.7398368119e-02	-3.7398368119e-02	7.4796736241e-02	-1.9373435148e-12	-2.6444639704e-02	-2.6444639704e-02	-2.6444639709e-02	7.9333919116e-02	-1.6514490200e-16	-1.6514490200e-16	1.4164974329e-15	5.3318733502e-16	1.4155000516e-16	-1.4155064043e-16	-7.9409338805e-22	7.9409338805e-22	1.0083159613e-16	-1.0083008736e-16	-2.4616895030e-21	3.9704669403e-22
14	1.400000e-01	-1.1430952134e-05	1.1430952134e-05	0.0000000000e+00	0.0000000000e+00	-6.5996632940e-06	-6.5996632940e-06	1.3199326581e-05	0.0000000000e+00	-4.6666666690e-06	-4.6666666690e-06	-4.6666666690e-06	1.4000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-5.6813223412e-02	5.6813223412e-02	0.0000000000e+00	0.0000000000e+00	-3.2801129832e-02	-3.2801129832e-02	6.5602259666e-02	-1.8935296039e-12	-2.3193901336e-02	-2.3193901336e-02	-2.3193901341e-02	6.9581704012e-02	-1.2711958129e-16	-1.2711958129e-16	1.2730396977e-15	4.0153046293e-16	9.3217352274e-17	-9.3217669911e-17	-4.7645603283e-22	0.0000000000e+00	8.8767808793e-17	-8.8765902968e-17	-2.3028708253e-21	2.3822801642e-22
15	1.500000e-01	-1.2247448715e-05	1.2247448715e-05	0.0000000000e+00	0.0000000000e+00	-7.0710678150e-06	-7.0710678150e-06	1.4142135622e-05	0.0000000000e+00	-5.0000000025e-06	-5.0000000025e-06	-5.0000000025e-06	1.5000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-4.9829391255e-02	4.9829391255e-02	0.0000000000e+00	0.0000000000e+00	-2.8769012456e-02	-2.8769012456e-02	5.7538024914e-02	-1.8312252756e-12	-2.0342763796e-02	-2.0342763796e-02	-2.0342763801e-02	6.1028291394e-02	-9.5947921798e-17	-9.5947921798e-17	1.1434484214e-15	2.9418174236e-16	5.4624095977e-17	-5.4624095977e-17	-4.7645603283e-22	1.5881867761e-22	7.8149986101e-17	-7.8147842049e-17	-1.9058241313e-21	1.5881867761e-22
16	1.600000e-01	-1.3063945296e-05	1.3063945296e-05	0.0000000000e+00	0.0000000000e+00	-7.5424723360e-06	-7.5424723360e-06	1.5084944664e-05	0.0000000000e+00	-5.3333333360e-06	-5.3333333360e-06	-5.3333333360e-06	1.6000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-4.3704054861e-02	4.3704054861e-02	-6.5052130349e-19	-6.5052130349e-19	-2.5232547840e-02	-2.5232547840e-02	5.0465095682e-02	-1.7556112814e-12	-1.7842105685e-02	-1.7842105685e-02	-1.7842105689e-02	5.3526317059e-02	-7.0518510414e-17	-7.0518510414e-17	1.0264784653e-15	2.0715958906e-16	2.4114710371e-17	-2.4115028008e-17	-4.7645603283e-22	7.9409338805e-22	6.8794613078e-17	-6.8793461642e-17	-9.5291206566e-22	1.5881867761e-22
17	1.700000e-01	-1.3880441877e-05	1.3880441877e-05	0.0000000000e+00	0.0000000000e+00	-8.0138768570e-06	-8.0138768570e-06	1.6027753705e-05	0.0000000000e+00	-5.6666666695e-06	-5.6666666695e-06	-5.6666666695e-06	1.7000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.8331682631e-02	3.8331682631e-02	-6.5052130349e-19	0.0000000000e+00	-2.2130807287e-02	-2.2130807287e-02	4.4261614576e-02	-1.6709277191e-12	-1.5648843906e-02	-1.5648843906e-02	-1.5648843910e-02	4.6946531722e-02	-4.9890822928e-17	-4.9890822928e-17	9.2098760564e-16	1.3708561213e-16	2.7888559788e-19	-2.7888559788e-19	-3.9704669403e-22	7.9409338805e-22	6.0561968991e-17	-6.0560777851e-17	-1.5087774373e-21	1.1911400821e-22
18	1.800000e-01	-1.4696938458e-05	1.4696938458e-05	0.0000000000e+00	0.0000000000e+00	-8.4852813780e-06	-8.4852813780e-06	1.6970562747e-05	0.0000000000e+00	-6.0000000030e-06	-6.0000000030e-06	-6.0000000030e-06	1.8000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.3619715563e-02	3.3619715563e-02	-6.5052130349e-19	-6.5052130349e-19	-1.9410351831e-02	-1.9410351831e-02	3.8820703664e-02	-1.5805221715e-12	-1.3725191405e-02	-1.3725191405e-02	-1.3725191409e-02	4.1175574220e-02	-3.3269813042e-17	-3.3269813042e-17	8.2592128632e-16	8.1110604480e-17	-1.8060860018e-17	1.8060224743e-17	-3.1763735522e-22	3.9704669403e-22	5.3313881592e-17	-5.3312769861e-17	-1.2308447515e-21	1.1911400821e-22
19	1.900000e-01	-1.5513435039e-05	1.5513435039e-05	0.0000000000e+00	0.0000000000e+00	-8.9566858990e-06	-8.9566858990e-06	1.7913371789e-05	0.0000000000e+00	-6.3333333365e-06	-6.3333333365e-06	-6.3333333365e-06	1.9000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.9486972575e-02	2.9486972575e-02	0.0000000000e+00	0.0000000000e+00	-1.7024311555e-02	-1.7024311555e-02	3.4048623111e-02	-1.4871060112e-12	-1.2038006145e-02	-1.2038006145e-02	-1.2038006149e-02	3.6114018440e-02	-1.9980183737e-17	-1.9980183737e-17	7.4031103106e-16	3.6823063316e-17	-3.1896666755e-17	3.1896349118e-17	-3.5734202462e-22	1.9852334701e-22	4.6932586830e-17	-4.6931475099e-17	-1.3102540903e-21	7.9409338805e-23
20	2.000000e-01	-1.6329931620e-05	1.6329931620e-05	0.0000000000e+00	0.0000000000e+00	-9.4280904200e-06	-9.4280904200e-06	1.8856180830e-05	0.0000000000e+00	-6.6666666700e-06	-6.6666666700e-06	-6.6666666700e-06	2.0000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.5862251869e-02	2.5862251869e-02	6.5052130349e-19	0.0000000000e+00	-1.4931578079e-02	-1.4931578079e-02	2.9863156160e-02	-1.3927726160e-12	-1.0558220114e-02	-1.0558220114e-02	-1.0558220117e-02	3.1674660344e-02	-9.4561434742e-18	-9.4561434742e-18	6.6326983756e-16	2.1980504981e-18	-4.2057250474e-17	4.2057091655e-17	-3.5734202462e-22	4.7645603283e-22	4.1314217291e-17	-4.1313105560e-17	-9.9261673506e-22	1.1911400821e-22
21	2.100000e-01	-1.5513435039e-05	1.5513435039e-05	0.0000000000e+00	0.0000000000e+00	-8.9566858990e-06	-8.9566858990e-06	1.7913371788e-05	0.0000000000e+00	-6.3333333365e-06	-6.3333333365e-06	-6.3333333365e-06	1.9000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
22	2.200000e-01	-1.4696938458e-05	1.4696938458e-05	0.0000000000e+00	0.0000000000e+00	-8.4852813780e-06	-8.4852813780e-06	1.6970562747e-05	0.0000000000e+00	-6.0000000030e-06	-6.0000000030e-06	-6.0000000030e-06	1.8000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
23	2.300000e-01	-1.3880441877e-05	1.3880441877e-05	0.0000000000e+00	0.0000000000e+00	-8.0138768570e-06	-8.0138768570e-06	1.6027753705e-05	0.0000000000e+00	-5.6666666695e-06	-5.6666666695e-06	-5.6666666695e-06	1.7000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
24	2.400000e-01	-1.3063945296e-05	1.3063945296e-05	0.0000000000e+00	0.0000000000e+00	-7.5424723360e-06	-7.5424723360e-06	1.5084944664e-05	0.0000000000e+00	-5.3333333360e-06	-5.3333333360e-06	-5.3333333360e-06	1.6000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
25	2.500000e-01	-1.2247448715e-05	1.2247448715e-05	0.0000000000e+00	0.0000000000e+00	-7.0710678150e-06	-7.0710678150e-06	1.4142135622e-05	0.0000000000e+00	-5.0000000025e-06	-5.0000000025e-06	-5.0000000025e-06	1.5000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
26	2.600000e-01	-1.1430952134e-05	1.1430952134e-05	0.0000000000e+00	0.0000000000e+00	-6.5996632940e-06	-6.5996632940e-06	1.3199326581e-05	0.0000000000e+00	-4.6666666690e-06	-4.6666666690e-06	-4.6666666690e-06	1.4000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
